map 0.05 50 10 3
ObsCylinder 26.6392 5.86566 0 3 0.249801
ObsCylinder 33.5279 3.88313 0 3 0.238265
ObsCylinder 2.59947 5.38644 0 3 0.278032
ObsCylinder 25.669 8.48471 0 3 0.259106
ObsCylinder 37.5923 1.46671 0 3 0.23747
ObsCylinder 24.2594 6.75585 0 3 0.225526
ObsCylinder 46.46 1.76041 0 3 0.245342
ObsCylinder 44.0724 4.91262 0 3 0.236466
ObsCylinder 39.3862 1.97827 0 3 0.295963
ObsCylinder 22.834 6.2308 0 3 0.217177
ObsCylinder 21.7305 7.27107 0 3 0.214271
ObsCylinder 6.62386 6.83153 0 3 0.294281
ObsCylinder 8.35028 8.4148 0 3 0.282337
ObsCylinder 41.1394 3.11923 0 3 0.214461
ObsCylinder 26.672 3.57681 0 3 0.247061
ObsCylinder 46.4609 4.46919 0 3 0.288612
ObsCylinder 4.3666 7.24057 0 3 0.237947
ObsCylinder 22.3341 3.75585 0 3 0.232411
ObsCylinder 11.3538 3.4669 0 3 0.263082
ObsCylinder 5.39794 3.05458 0 3 0.244207
ObsCylinder 35.0621 6.61543 0 3 0.258326
ObsCylinder 18.2434 8.61195 0 3 0.28712
ObsCylinder 29.3706 3.61928 0 3 0.205834
ObsCylinder 39.8518 4.57842 0 3 0.286305
ObsCylinder 15.7858 1.16445 0 3 0.24426
ObsCylinder 23.9508 1.51764 0 3 0.217701
ObsCylinder 11.9267 2.31779 0 3 0.207697
ObsCylinder 13.1646 3.06417 0 3 0.272353
ObsCylinder 14.4917 4.97313 0 3 0.264965
ObsCylinder 9.12702 4.19527 0 3 0.265585
ObsCylinder 2.48588 7.02264 0 3 0.202903
ObsCylinder 39.054 8.76407 0 3 0.225728
ObsCylinder 10.5187 7.46981 0 3 0.249184
ObsCylinder 32.0452 5.80459 0 3 0.271285
ObsCylinder 5.4181 5.78038 0 3 0.228905
ObsCylinder 20.9934 3.27719 0 3 0.231564
ObsCylinder 17.9571 1.73173 0 3 0.268975
ObsCylinder 6.12372 4.32245 0 3 0.248131
ObsCylinder 38.067 7.49449 0 3 0.245362
ObsCylinder 9.71473 1.94858 0 3 0.278159
ObsCylinder 44.9874 1.72239 0 3 0.274459
ObsCylinder 33.3873 5.47047 0 3 0.273731
ObsCylinder 39.0538 5.75666 0 3 0.262752
ObsCylinder 30.0491 1.50999 0 3 0.282948
ObsCylinder 19.059 6.2868 0 3 0.211086
ObsCylinder 36.2151 5.23956 0 3 0.298627
ObsCylinder 6.12179 8.59424 0 3 0.259686
ObsCylinder 25.297 4.66042 0 3 0.213867
ObsCylinder 35.7135 8.37746 0 3 0.204031
ObsCylinder 24.1652 8.33746 0 3 0.240975
ObsCylinder 12.9319 7.88476 0 3 0.282421
ObsCylinder 31.2765 2.48595 0 3 0.285338
ObsCylinder 18.4277 5.01958 0 3 0.262069
ObsCylinder 30.7055 8.50333 0 3 0.233895
ObsCylinder 31.6183 1.18081 0 3 0.204351
ObsCylinder 38.7443 3.68991 0 3 0.298649
ObsCylinder 8.29809 6.07169 0 3 0.237159
ObsCylinder 42.7448 2.05952 0 3 0.221833
ObsCylinder 23.5312 3.24819 0 3 0.266734
ObsCylinder 44.403 8.42936 0 3 0.248186
ObsCylinder 4.07751 1.61242 0 3 0.239333
ObsCylinder 17.0173 3.7129 0 3 0.258244
ObsCylinder 27.9073 8.75472 0 3 0.222647
ObsCylinder 21.0519 1.88972 0 3 0.259523
ObsCylinder 41.3724 5.22593 0 3 0.278515
ObsCylinder 24.093 5.45419 0 3 0.274708
ObsCylinder 40.23 7.90441 0 3 0.205472
ObsCylinder 46.0112 5.75097 0 3 0.240402
ObsCylinder 41.3183 1.50208 0 3 0.233195
ObsCylinder 3.17559 8.82273 0 3 0.265984
ObsCylinder 45.6083 8.85233 0 3 0.228106
ObsCylinder 15.2412 8.69833 0 3 0.252119
ObsCylinder 27.7807 1.20818 0 3 0.230001
ObsCylinder 34.7211 3.35266 0 3 0.216953
ObsCylinder 26.3291 1.45114 0 3 0.256545
ObsCylinder 14.0511 6.55659 0 3 0.24909
ObsCylinder 6.77943 3.08463 0 3 0.288956
ObsCylinder 40.6605 6.53588 0 3 0.255241
ObsCylinder 3.96289 5.06496 0 3 0.219169
