map 0.05 50 10 3
ObsCylinder 8.19287 1.93463 0 3 0.22743
ObsCylinder 29.4783 2.36788 0 3 0.272607
ObsCylinder 5.60899 1.4855 0 3 0.294551
ObsCylinder 5.93237 3.58097 0 3 0.274044
ObsCylinder 9.80762 5.66771 0 3 0.216731
ObsCylinder 19.3894 2.8794 0 3 0.242658
ObsCylinder 21.0265 6.15543 0 3 0.275808
ObsCylinder 31.3529 8.65814 0 3 0.212923
ObsCylinder 44.6528 3.95892 0 3 0.228849
ObsCylinder 12.7081 7.57907 0 3 0.29445
ObsCylinder 5.89497 5.92667 0 3 0.241042
ObsCylinder 35.1899 5.47472 0 3 0.275196
ObsCylinder 44.9987 1.24239 0 3 0.288545
ObsCylinder 33.0625 1.91145 0 3 0.280228
ObsCylinder 11.5855 3.26733 0 3 0.22197
ObsCylinder 4.46348 5.14387 0 3 0.28189
ObsCylinder 35.3594 7.97369 0 3 0.200608
ObsCylinder 28.099 8.41298 0 3 0.220277
ObsCylinder 42.6272 7.78951 0 3 0.210101
ObsCylinder 13.4046 1.34342 0 3 0.295178
ObsCylinder 34.304 7.04808 0 3 0.227322
ObsCylinder 40.1543 2.77336 0 3 0.236659
ObsCylinder 32.0624 5.66801 0 3 0.297167
ObsCylinder 15.9289 6.80879 0 3 0.288249
ObsCylinder 27.9973 5.70696 0 3 0.201537
ObsCylinder 37.2701 1.36342 0 3 0.220415
ObsCylinder 4.23949 1.71253 0 3 0.255553
ObsCylinder 14.5889 4.57348 0 3 0.213829
ObsCylinder 13.3593 5.44404 0 3 0.214633
ObsCylinder 2.68394 5.48536 0 3 0.238431
ObsCylinder 22.7111 8.77178 0 3 0.24937
ObsCylinder 40.7829 5.17943 0 3 0.217628
ObsCylinder 11.6426 8.36082 0 3 0.217157
ObsCylinder 47.782 3.69956 0 3 0.216172
ObsCylinder 47.5693 7.43742 0 3 0.293534
ObsCylinder 47.7025 1.44894 0 3 0.289452
ObsCylinder 37.4545 7.59527 0 3 0.279267
ObsCylinder 46.0077 7.44932 0 3 0.275451
ObsCylinder 13.4156 8.81725 0 3 0.259683
ObsCylinder 43.3489 3.7352 0 3 0.225872
ObsCylinder 41.5727 1.56562 0 3 0.270329
ObsCylinder 16.038 8.34822 0 3 0.284354
ObsCylinder 24.6946 4.12427 0 3 0.218231
ObsCylinder 44.4077 6.61358 0 3 0.256929
ObsCylinder 16.1601 1.39019 0 3 0.240952
ObsCylinder 26.814 7.79174 0 3 0.238424
ObsCylinder 26.5331 4.00325 0 3 0.292754
ObsCylinder 3.66734 6.59079 0 3 0.255298
ObsCylinder 25.613 8.80838 0 3 0.290868
ObsCylinder 10.7936 1.26271 0 3 0.22758
ObsCylinder 2.67743 4.08516 0 3 0.210734
ObsCylinder 46.9524 8.83195 0 3 0.205065
ObsCylinder 34.2864 8.71112 0 3 0.212183
ObsCylinder 10.951 7.15041 0 3 0.205402
ObsCylinder 12.0483 4.64334 0 3 0.217572
ObsCylinder 28.5153 1.29779 0 3 0.267315
ObsCylinder 29.6482 8.82086 0 3 0.270549
ObsCylinder 39.3468 1.25278 0 3 0.292694
ObsCylinder 22.4782 2.01326 0 3 0.283057
ObsCylinder 25.6736 7.05493 0 3 0.208277
ObsCylinder 15.9635 3.65591 0 3 0.234348
ObsCylinder 41.4511 7.31127 0 3 0.245715
ObsCylinder 14.5834 6.18926 0 3 0.290484
ObsCylinder 44.2841 2.54442 0 3 0.23896
ObsCylinder 39.1598 5.1882 0 3 0.229929
ObsCylinder 23.4016 7.17298 0 3 0.240281
ObsCylinder 46.7752 2.91276 0 3 0.216082
ObsCylinder 2.42095 1.2651 0 3 0.23976
ObsCylinder 42.2523 5.23824 0 3 0.276182
ObsCylinder 45.3205 5.52042 0 3 0.259038
ObsCylinder 31.7244 7.10917 0 3 0.221369
ObsCylinder 30.1708 1.12786 0 3 0.215583
ObsCylinder 6.52849 7.33155 0 3 0.201626
ObsCylinder 26.7255 1.34898 0 3 0.288645
ObsCylinder 46.3391 1.36565 0 3 0.256784
ObsCylinder 4.35566 8.79702 0 3 0.231413
ObsCylinder 2.22116 6.70883 0 3 0.2203
ObsCylinder 39.9284 4.17845 0 3 0.225526
ObsCylinder 10.8364 4.99203 0 3 0.21027
ObsCylinder 43.4039 8.86809 0 3 0.225727
ObsCylinder 37.3861 2.63081 0 3 0.231498
ObsCylinder 18.6406 1.20135 0 3 0.258374
ObsCylinder 37.0474 8.82598 0 3 0.216628
ObsCylinder 19.624 6.95832 0 3 0.23065
ObsCylinder 14.8953 1.12989 0 3 0.223269
ObsCylinder 22.655 4.73951 0 3 0.264195
ObsCylinder 7.23741 5.34861 0 3 0.217364
ObsCylinder 40.0585 7.66521 0 3 0.203418
ObsCylinder 25.8913 5.256 0 3 0.204026
ObsCylinder 33.2256 6.29945 0 3 0.2161
ObsCylinder 45.6493 8.81855 0 3 0.23916
ObsCylinder 34.0948 1.11525 0 3 0.214961
ObsCylinder 24.2622 2.87834 0 3 0.248925
ObsCylinder 19.8012 8.84628 0 3 0.214744
ObsCylinder 10.4979 2.56987 0 3 0.210744
ObsCylinder 19.8383 5.58368 0 3 0.205463
ObsCylinder 23.9957 8.84806 0 3 0.219224
ObsCylinder 36.2074 4.6969 0 3 0.200034
ObsCylinder 14.1243 3.44808 0 3 0.200514
ObsCylinder 4.829 2.852 0 3 0.221669
ObsCylinder 33.3289 3.22432 0 3 0.203918
